JesusFilm	De JEZUS Film — Adele [ade]	images
0	De JEZUS Film	JF00.png	http://www.jesusfilm.org/watch/jesus.html/.html
1	Het begin	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/.html
2	Geboorte van Jezus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/.html
3	Kinderjaren van Jezus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/.html
4	Doop van Jezus door Johannes	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/.html
5	Jezus verzocht in de woestijn	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/.html
6	Jezus verkondigt de vervulling van Schriftwoord	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/.html
7	Gelijkenis van de Farizeeër en Tollenaar	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/.html
8	Wonderbaarlijke visvangst	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/.html
9	Dochter van Jaïrus weer tot leven gebracht	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/.html
10	Discipelen worden gekozen	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/.html
11	Zaligsprekingen	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/.html
12	Bergrede	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/.html
13	Gezegend zijn zij die horen en gehoorzamen	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/.html
14	Overspelige vrouw vergeven	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/.html
15	Vrouwelijke discipelen	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/.html
16	Johannes de Doper in de gevangenis	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/.html
17	Gelijkenis van de zaaier en het zaad	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/.html
18	Gelijkenis van de lamp	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/.html
19	Jezus kalmeert de storm	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/.html
20	Genezing van bezetene	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/.html
21	De spijziging van de vijfduizend	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/.html
22	Peter verklaart dat Jezus de Christus is	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/.html
23	De verheerlijking op de berg	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/.html
24	Jesus geneest jongen van boze geest	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/.html
25	Het Onze Vader	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/.html
26	Onderwijs over gebed en geloof	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/.html
27	Wee degenen die anderen doen zondigen	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/.html
28	Het Koninkrijk van God is als een mosterdzaadje	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/.html
29	Jezus brengt tijd door met zondaars	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/.html
30	Genezing op de sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/.html
31	Gelijkenis van de barmhartige Samaritaan	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/.html
32	Genezing van Bartimeüs	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/.html
33	Jezus en Zacheüs	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/.html
34	Jezus voorspelt Zijn dood en opstanding	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/.html
35	Triomfantelijke intocht van Jezus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/.html
36	Jezus huilt over Jeruzalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/.html
37	Jezus verdrijft de geldwisselaars	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/.html
38	Het penningske van de weduwe	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/.html
39	Vragen van Annas over de autoriteit van Jezus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/.html
40	Gelijkenis van de wijngaard en de huurders	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/.html
41	Het betalen van belasting aan Caesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/.html
42	Het laatste avondmaal	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/.html
43	Laatste onderwijs aan de discipelen	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/.html
44	Jezus wordt verraden en opgepakt	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/.html
45	Petrus verloochent Jezus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/.html
