JesusFilm	O Filme JESUS — Ellomwe [lon]	images
0	O Filme JESUS	JF00.png	http://www.jesusfilm.org/watch/jesus.html/ellomwe.html
1	O princípio	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/ellomwe.html
2	O nascimento de Jesus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/ellomwe.html
3	A infância de Jesus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/ellomwe.html
4	O batismo de Jesus	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/ellomwe.html
5	Satanás tenta Jesus	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/ellomwe.html
6	Jesus declara que as Escrituras foram cumpridas	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/ellomwe.html
7	A parábola do fariseu e do coletor de impostos	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/ellomwe.html
8	A pesca milagrosa	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/ellomwe.html
9	A filha de Jairo volta à vida	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/ellomwe.html
10	A escolha dos discípulos	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/ellomwe.html
11	As bem-aventuranças	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/ellomwe.html
12	O sermão do monte	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/ellomwe.html
13	Bem aventurados os que ouvem e obedecem	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/ellomwe.html
14	Uma pecadora é perdoada	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/ellomwe.html
15	As mulheres que seguiam Jesus	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/ellomwe.html
16	João Batista na prisão	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/ellomwe.html
17	A parábola do semeador	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/ellomwe.html
18	A parábola da lâmpada	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/ellomwe.html
19	Jesus acalma a tempestade	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/ellomwe.html
20	A cura de um endemoninhado	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/ellomwe.html
21	Jesus alimenta os 5000	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/ellomwe.html
22	Pedro diz que Jesus é o Cristo	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/ellomwe.html
23	A transfiguração	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/ellomwe.html
24	Jesus cura um endemoninhado	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/ellomwe.html
25	A oração do Pai nosso	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/ellomwe.html
26	Jesus ensina sobre oração e fé	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/ellomwe.html
27	Ai dos que levam os outros a pecar	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/ellomwe.html
28	O reino de Deus é como um grão de mostarda	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/ellomwe.html
29	Jesus entre os pecadores	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/ellomwe.html
30	Jesus cura no sábado	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/ellomwe.html
31	A parábola do bom samaritano	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/ellomwe.html
32	Jesus cura Bartimeu	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/ellomwe.html
33	Jesus e Zaqueu	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/ellomwe.html
34	Jesus fala sobre sua morte e ressurreição	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/ellomwe.html
