2.86	12.64	1
12.64	16.88	2a
16.88	27.4	2b
27.4	35	3
35	44.08	4
44.08	52.8	5a
52.8	61.32	5b
61.32	66.96	6a
66.96	72.52	6b
72.52	75	7a
75	76.4	7b
76.4	88.08	7c
88.08	95.12	8a
95.12	98.12	8b
98.12	101.76	8c
101.76	110.36	9a
110.36	116.32	9b
116.32	119.8	9c
119.8	122.44	10a
122.44	127.32	10b
127.32	130.52	10c
130.52	136.04	10d
136.04	141.36	10e
141.36	149.4	11a
149.4	150.4	11b
150.4	156.52	11c
156.52	158.96	11d
158.96	165.12	11e
165.12	172.48	11f
172.48	176.92	12a
176.92	185.96	12b
185.96	198.16	13
198.16	208.24	14a
208.24	212.76	14b
212.76	229.92	15
229.92	239.12	16
239.12	250.08	17a
250.08	256.16	17b
256.16	263	18
263	283.6	19
283.6	287.34	20a
287.34	288.3	20b
288.3	291.24	20c
291.24	298.52	21a
298.52	306.84	21b
306.84	322.66	22a
322.66	325.8	22b
325.8	329.78	22c
329.78	340.96	23a
340.96	348.84	23b
348.84	356.48	24a
356.48	360.98	24b
360.98	366.24	25a
366.24	369.84	25b
369.84	372.76	25c
372.76	376.52	26a
376.52	392.64	26b
392.64	400.28	26c
400.28	406.72	27a
406.72	418.42	27b
418.42	425.36	27c
425.36	439.28	27d
439.28	441.84	28a
441.84	446.76	28b
446.76	449.04	29a
449.04	453.64	29b
453.64	456.96	29c
456.96	458.08	30a
458.08	468.6	30b
468.6	472.76	30c
472.76	482.52	31a
482.52	489.32	31b
489.32	492.76	31c
492.76	496.8	32a
496.8	500.04	32b
500.04	503.48	32c
503.48	509.32	32d
509.32	514.68	32e
514.68	533.12	33
533.12	535.16	34a
535.16	541.12	34b
541.12	542.64	35a
542.64	546.8	35b
546.8	552.68	35c
552.68	559.48	35d
559.48	569.68	36
569.68	577.6	37a
577.6	586.8	37b
586.8	596	38a
596	602.96	38b
602.96	615.8	39a
615.8	624.2	39b
624.2	634	40a
634	641.96	40b
641.96	651.76	40c
651.76	663.58	41a
663.58	668.96	41b
668.96	670.2	42a
670.2	673.76	42b
673.76	676.76	42c
676.76	681.84	42d
681.84	684.56	43a
684.56	689.2	43b
689.2	700.4	44a
700.4	707.96	44b
707.96	715	45a
715	719.96	45b
719.96	731.6	45c
731.6	734.72	46a
734.72	742.36	46b
742.36	755.36	47
755.36	758.36	48
758.36	772.64	49
772.64	781.44	50a
781.44	787.48	50b
787.48	791.8	51a
791.8	797.62	51b
797.62	809.7	51c
809.7	814.16	52a
814.16	819.12	52b
819.12	821	53a
821	832.56	53b
832.56	840.92	53c
840.92	854.72	54a
854.72	863.8	54b
863.8	870.4	55a
870.4	876.2	55b
876.2	879.4	56a
879.4	887.08	56b
887.08	891.12	56c
891.12	897	57a
897	904	57b
904	906.68	57c
906.68	914.16	57d
914.16	919.64	58a
919.64	931.2	58b
931.2	941.12	58c
941.12	952.24	59
952.24	963.2	60a
963.2	967.88	60b
967.88	970.48	60c
970.48	974.12	60d
974.12	980.16	61a
980.16	985.6	61b
985.6	987.48	62a
987.48	1004.72	62b
1004.72	1013.56	63a
1013.56	1016.52	63b
1016.52	1026.76	63c
1026.76	1032.88	64a
1032.88	1040.76	64b
1040.76	1044.28	64c
1044.28	1046.18	65a
1046.18	1058.24	65b
1058.24	1069.2	66
1069.2	1073.94	67a
1073.94	1078.08	67b
1078.08	1082.16	68a
1082.16	1086.36	68b
1086.36	1088.04	68c
1088.04	1097.48	68d
1097.48	1100.8	69a
1100.8	1104.76	69b
1104.76	1107.32	69c
1107.32	1109.36	70a
1109.36	1119.08	70b
1119.08	1123.96	70c
1123.96	1131.7	71a
1131.7	1134.88	71b
1134.88	1141.66	71c
