9.220	10.220	1a
10.220	13.620	1b
13.620	17.240	1c
17.240	21.460	1d
21.460	32.780	1e
32.780	33.940	2a
33.940	36.120	2b
36.120	38.360	2c
38.360	54.120	2d
54.120	61.760	3-4a
61.760	67.380	3-4b
67.380	73.380	3-4c
73.380	78.860	3-4d
78.860	85.740	3-4e
85.740	90.160	3-4f
90.160	92.440	3-4g
92.440	97.140	3-4h
97.140	100.580	3-4i
100.580	107.120	3-4j
107.120	110.200	3-4k
110.200	110.720	3-4l
110.720	111.720	3-4m
111.720	117.720	3-4n
117.720	127.080	5a
127.080	136.340	5b
136.340	143.780	6a
143.780	148.640	6b
148.640	151.540	6c
151.540	163.960	7a
163.960	169.800	7b
169.800	173.840	7c
173.840	183.920	8a
183.920	193.660	8b
193.660	201.960	9a
201.960	212.040	9b
212.040	217.760	9c
217.760	221.000	9d
221.000	223.600	9e
223.600	232.600	9f
232.600	237.920	10a
237.920	242.640	10b
242.640	249.800	10c
249.800	257.560	10d
257.560	264.000	10e
264.000	270.000	10f
270.000	272.080	10g
272.080	281.740	10h
281.740	286.760	11a
286.760	291.000	11b
291.000	297.720	11c
297.720	301.840	11d
301.840	308.200	12a
308.200	310.080	12b
310.080	315.640	12c
315.640	323.560	13a
323.560	330.980	13b
330.980	336.560	13c
336.560	340.920	13d
340.920	343.800	13e
343.800	350.320	14a
350.320	359.640	14b
359.640	366.200	15a
366.200	369.660	15b
369.660	376.920	15c
376.920	383.080	15d
383.080	400.640	16a
400.640	405.560	16b
405.560	411.240	16c
411.240	417.360	16d
417.360	428.480	17a
428.480	434.360	17b
434.360	442.540	17c
442.540	445.520	17d
445.520	447.960	17e
447.960	449.320	17f
449.320	449.800	18a
449.800	450.440	18b
450.440	458.520	18c
458.520	473.440	18d
473.440	480.320	19a
480.320	500.160	19b
500.160	505.200	20a
505.200	524.560	20b
