2.320	20.420	1a
20.420	29.880	1b
29.880	33.000	2a
33.000	35.840	2b
35.840	37.840	2c
37.840	44.520	2d
44.520	52.960	3a
52.960	64.760	3b
64.760	68.200	3c
68.200	78.400	3d
78.400	92.600	4-5a
92.600	96.600	4-5b
96.600	104.000	4-5c
104.000	107.200	4-5d
107.200	110.960	4-5e
110.960	127.160	4-5f
127.160	134.840	4-5g
134.840	140.280	6a
140.280	150.000	6b
150.000	163.760	7a
163.760	172.200	7b
172.200	179.080	8a
179.080	194.520	8b
194.520	199.200	8c
199.200	204.880	8d
204.880	224.680	9a
224.680	243.240	9b
243.240	251.120	9c
251.120	254.600	9d
254.600	273.720	10a
273.720	280.620	10b
280.620	293.560	10c
293.560	303.300	11a
303.300	307.420	11b
307.420	313.600	11c
313.600	330.360	12a
330.360	343.160	12b
343.160	351.760	13a
351.760	364.440	13b
364.440	375.440	14a
375.440	386.360	14b
386.360	396.160	15a
396.160	406.320	15b
406.320	414.760	15c
414.760	417.280	15d
417.280	420.740	15e
