1.980	10.500	1a
10.500	13.220	1b
13.220	17.640	1c
17.640	24.240	1d
24.240	27.860	1e
27.860	38.800	2a
38.800	51.700	2b
51.700	55.960	2c
55.960	62.900	3
62.900	67.080	4a
67.080	69.680	4b
69.680	77.440	4c
77.440	81.960	4d
81.960	90.360	4e
90.360	95.200	4f
95.200	98.800	4g
98.800	102.400	4h
102.400	112.040	5a
112.040	123.400	5b
123.400	125.480	5c
125.480	138.420	5d
138.420	142.600	6a
142.600	157.080	6b
157.080	161.720	6c
161.720	165.200	6d
165.200	172.640	7a
172.640	180.200	7b
180.200	188.000	7c
188.000	192.720	7d
192.720	196.320	8a
196.320	207.400	8b
207.400	215.720	8c
215.720	221.400	8d
221.400	224.160	8e
224.160	233.120	8f
233.120	240.360	9a
240.360	251.880	9b
251.880	257.280	9c
257.280	260.200	9d
260.200	267.160	9e
267.160	269.040	9f
269.040	276.600	9g
276.600	280.680	9h
280.680	289.000	9i
289.000	294.960	9j
294.960	298.120	10a
298.120	302.560	10b
302.560	306.160	10c
306.160	311.160	10d
311.160	314.400	11a
314.400	317.880	11b
317.880	324.560	11c
324.560	336.280	11d
336.280	346.520	11e
346.520	353.640	12a
353.640	361.880	12b
361.880	374.520	12c
374.520	379.160	12d
379.160	382.120	13a
382.120	393.120	13b
393.120	409.840	14
409.840	423.600	15
423.600	432.360	16a
432.360	434.200	16b
434.200	444.800	16c
444.800	451.920	16d
451.920	457.500	16e
457.500	460.400	16f
460.400	462.960	17a
462.960	465.280	17b
465.280	468.920	17c
468.920	476.400	17d
476.400	477.920	18a
477.920	484.160	18b
484.160	489.440	18c
489.440	493.920	18d
493.920	499.080	19a
499.080	505.040	19b
505.040	508.800	19c
508.800	518.440	20a
518.440	523.080	20b
523.080	524.120	20c
524.120	531.800	20d
531.800	535.880	20e
535.880	540.040	21a
540.040	555.980	21b
555.980	559.440	22a
559.440	563.600	22b
563.600	568.480	23a
568.480	576.120	23b
576.120	577.040	23c
577.040	582.120	23d
582.120	590.880	24a
590.880	595.640	24b
595.640	598.600	24c
598.600	607.800	24d
607.800	613.400	25a
613.400	616.560	25b
616.560	622.160	25c
622.160	626.160	25d
