JohnAnim	John Slide videos in the Melpa language of Papua New Guinea [med]	images
0	Playlist	JnAnim.png	
1	The Word (John 1:1-18)	JnAnim01.01-18.png	data/med/video/med-Jn01_01-18-The_Word.mp4
2	John the Baptist identifies the Messiah (John 1:19-34)	JnAnim01.19-34.png	data/med/video/med-Jn01_19-34-John_the_Baptist.mp4
3	The disciples follow Jesus (John 1:35-51)	JnAnim01.35-51.png	data/med/video/med-Jn01_35-51-Disciples_follow_Jesus.mp4
4	The miracle at Cana (John 2:1-12)	JnAnim02.01-12.png	data/med/video/med-Jn02_01-12-Miracle_at_Cana.mp4
5	Jesus in the Temple courtyard (John 2:13-25)	JnAnim02.13-25.png	data/med/video/med-Jn02_13-25-Jesus_in_temple.mp4
6	Jesus speaks with Nicodemus (John 3:1-21)	JnAnim03.01-21.png	data/med/video/med-Jn03_01-21-Nicodemus.mp4
7	John testifies about Jesus (John 3:22-36)	JnAnim03.22-36.png	data/med/video/med-Jn03_22-36-John_testifies_Jesus.mp4
8	Jesus speaks with a Samaritan woman (John 4:1-42)	JnAnim04.01-42.png	data/med/video/med-Jn04_01-42-Samaritan_woman.mp4
9	Jesus heals an officials son  (John 4:43-54)	JnAnim04.43-54.png	data/med/video/med-Jn04_43-54-Heal_officials_son.mp4
10	Jesus heals on the Sabbath (John 5:1-15)	JnAnim05.01-15.png	data/med/video/med-Jn05_01-15-Healing_on_Sabbath.mp4
11	Jesus defends his authority (John 5:16-47)	JnAnim05.16-47.png	data/med/video/med-Jn05_16-47-Jesus_defends_his_authority.mp4
12	Jesus feeds a multitude (John 6:1-15)	JnAnim06.01-15.png	data/med/video/med-Jn06_01-15-Jesus_feeds_a_multitude.mp4
13	Jesus walks on the water  (John 6:16-21)	JnAnim06.16-22.png	data/med/video/med-Jn06_16-21-Walking_on_water.mp4
14	The Bread of Life (John 6:22-71)	JnAnim06.22-71.png	data/med/video/med-Jn06_22-71-Bread_of_Life.mp4
15	Jewish leaders want to kill Jesus (John 7:1-24)	JnAnim07.01-24.png	data/med/video/med-Jn07_01-24-Leaders_want_to_kill_Jesus.mp4
16	Jewish leaders try to arrest Jesus (John 7:25-53)	JnAnim07.25-53.png	data/med/video/med-Jn07_25-53-Leaders_try_to_arrest_Jesus.mp4
17	Jesus forgives a condemned woman (John 8:1-11)	JnAnim08.02-11.png	data/med/video/med-Jn08_01-11-Forgiven_woman.mp4
18	Jesus is the light of the world (John 8:12-30)	JnAnim08.12-30.png	data/med/video/med-Jn08_12-30-Light_of_the_world.mp4
19	Jesus confronts false disciples (John 8:31-59)	JnAnim08.31-59.png	data/med/video/med-Jn08_31-59-False_disciples.mp4
20	Jesus heals a blind man (John 9:1-41)	JnAnim09.01-41.png	data/med/video/med-Jn09_01-41-Jesus_heals_a_blind_man.mp4
21	Jesus the Good Shepherd (John 10:1-21)	JnAnim10.01-21.png	data/med/video/med-Jn10_01-21-Jesus_the_Good_Shepherd.mp4
