Magdalena	Magdalena — Burmese, Standard [mya]	images	
0	Magdalena	M00.png	https://www.jesusfilm.org/watch/magdalena.html/burmese-standard.html
1	Titel und Einleitung	M01.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-title-and-introduction/burmese-standard.html
2	Maria Magdalena besucht Rivkas Haus	M02.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-goes-to-rivkas-house/burmese-standard.html
3	Die Schöpfung	M03.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-creation/burmese-standard.html
4	Versuchung und Abfall der Menschen	M04.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-temptation-and-fall-of-mankind/burmese-standard.html
5	Abraham	M05.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-abraham/burmese-standard.html
6	Jesaja	M06.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-isaiah/burmese-standard.html
7	Die Verkündigung an Maria	M07.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-announcement-to-mary/burmese-standard.html
8	Marias Besuch bei Elisabet	M08.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-marys-visit-to-elizabeth/burmese-standard.html
9	Josefs Antwort	M09.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-josephs-response/burmese-standard.html
10	Die Geburt von Jesus	M10.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-birth-of-jesus/burmese-standard.html
11	Die Profetie von Simon	M11.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-simeons-prophecy/burmese-standard.html
12	Erklärung der wundersamen Geburt	M12.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-explanation-of-miraculous-birth/burmese-standard.html
13	Jesus wird von Johannes getauft	M13.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-baptism-of-jesus-by-john/burmese-standard.html
14	Jesus kündigt die Erfüllung der Schriften an	M14.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-proclaims-fulfillment-of-the-scriptures/burmese-standard.html
15	Maria Magdalena wird von Dämonen befreit	M15.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
16	Rivkas Haus, Wahl der Apostel und Frauen als Jünger	M16.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
17	Rom nimmt alles, aber Jesus bietet Hoffnung	M17.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rome-took-everything-but-jesus-offered-hope/burmese-standard.html
18	Jesus erweckt den Sohn der Witwe vom Tod	M18.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-raises-the-widows-son/burmese-standard.html
19	Bergpredigt	M19.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-sermon-on-the-mount/burmese-standard.html
20	Die Frau am Brunnen	M20.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-at-the-well/burmese-standard.html
21	Lehre über Gebet und Fasten	M21.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-prayer-and-faith/burmese-standard.html
22	Jesus in Gemeinschaft mit Sündern	M22.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-spends-time-with-sinners/burmese-standard.html
23	Die Frau mit Blutfluss	M23.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-with-the-issue-of-blood/burmese-standard.html
24	Die Tochter des Jairus wird zum Leben erweckt	M24.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jairus-daughter-brought-back-to-life/burmese-standard.html
25	Jesus gibt 5000 Menschen zu essen	M25.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-feeds-5000/burmese-standard.html
26	Lehre über die Nachfolge	M26.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-following-him/burmese-standard.html
27	Heilung am Sabbat	M27.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-healing-on-the-sabbath/burmese-standard.html
28	Römische und religiöse Autoritäten nehmen Anstoß an Jesus	M28.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-roman-and-religious-leaders-upset-with-jesus/burmese-standard.html
29	Das Opfer der Witwe	M29.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-widows-offering/burmese-standard.html
30	Jesus vergibt einer Ehebrecherin	M30.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-adulterous-woman-forgiven/burmese-standard.html
31	Judas verspricht, Jesus zu verraten	M31.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-judas-agrees-to-betray-jesus/burmese-standard.html
32	Verrat und Gefangennahme von Jesus	M32.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-is-betrayed-arrested/burmese-standard.html
33	Jesus im Verhör	M33.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-on-trial/burmese-standard.html
