Magdalena	Magdalena — Burmese, Standard [mya]	images
0	Magdalena	M00.png	https://www.jesusfilm.org/watch/magdalena.html/.html
1	Title and Introduction	M01.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-title-and-introduction/.html
2	Mary Magdalene goes to Rivka's House	M02.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-goes-to-rivkas-house/.html
3	Creation	M03.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-creation/.html
4	Temptation and Fall of Mankind	M04.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-temptation-and-fall-of-mankind/.html
5	Abraham	M05.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-abraham/.html
6	Isaiah	M06.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-isaiah/.html
7	Announcement to Mary	M07.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-announcement-to-mary/.html
8	Mary's Visit to Elizabeth	M08.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-marys-visit-to-elizabeth/.html
9	Joseph's Response	M09.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-josephs-response/.html
10	Birth of Jesus	M10.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-birth-of-jesus/.html
11	Simeon's Prophecy	M11.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-simeons-prophecy/.html
12	Explanation of Miraculous Birth	M12.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-explanation-of-miraculous-birth/.html
13	Baptism of Jesus by John	M13.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-baptism-of-jesus-by-john/.html
14	Jesus Proclaims Fulfillment of the Scriptures	M14.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-proclaims-fulfillment-of-the-scriptures/.html
15	Mary Magdalene Freed from Demons	M15.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/.html
16	Rivka's Home, Disciples Chosen and Women Followers	M16.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/.html
17	Rome Took Everything but Jesus Offered Hope	M17.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rome-took-everything-but-jesus-offered-hope/.html
18	Jesus Raises the Widow's Son	M18.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-raises-the-widows-son/.html
19	Sermon on the Mount	M19.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-sermon-on-the-mount/.html
20	The Woman at the Well	M20.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-at-the-well/.html
21	Teaching About Prayer and Faith	M21.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-prayer-and-faith/.html
22	Jesus Spends Time with Sinners	M22.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-spends-time-with-sinners/.html
23	The Woman with the Issue of Blood	M23.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-with-the-issue-of-blood/.html
24	Jairus' Daughter Brought Back to Life	M24.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jairus-daughter-brought-back-to-life/.html
25	Jesus Feeds 5,000	M25.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-feeds-5000/.html
26	Teaching about Following Him	M26.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-following-him/.html
27	Healing on the Sabbath	M27.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-healing-on-the-sabbath/.html
28	Roman and Religious Leaders Upset with Jesus	M28.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-roman-and-religious-leaders-upset-with-jesus/.html
29	Widow's Offering	M29.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-widows-offering/.html
30	The Adulterous Woman Forgiven	M30.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-adulterous-woman-forgiven/.html
31	Judas Agrees to Betray Jesus	M31.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-judas-agrees-to-betray-jesus/.html
32	Jesus Is Betrayed, Arrested	M32.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-is-betrayed-arrested/.html
33	Jesus on Trial	M33.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-on-trial/.html
34	Jesus Carries His Cross and Is Crucified	M34.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-carries-his-cross-and-is-crucified/.html
35	Mary Recalls Simeon's Words	M35.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-recalls-simeons-words/.html
36	The Thief Promised Paradise	M36.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-thief-promised-paradise/.html
37	Darkness and Jesus' Death	M37.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-darkness-and-jesus-death/.html
38	Burial of Jesus	M38.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-burial-of-jesus/.html
39	Women at the Tomb, Body Gone	M39.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-women-at-the-tomb-body-gone/.html
40	Magdalena Sees the Resurrected Jesus	M40.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-magdalena-sees-the-resurrected-jesus/.html
41	Magdalena Explains Jesus' Death and Resurrection	M41.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-magdalena-explains-jesus-death-and-resurrection/.html
42	Knowing God Personally	M42.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-knowing-god-personally/.html
43	Rivka Believes	M43.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rivka-believes/.html
44	Living the Christian Life	M44.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-living-the-christian-life/.html
