Magdalena	Magdalena — Burmese, Standard [mya]	images	
0	Magdalena	M00.png	https://www.jesusfilm.org/watch/magdalena.html/burmese-standard.html
1	Título e introducción	M01.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-title-and-introduction/burmese-standard.html
2	María Magdalena va a la casa de Rivka	M02.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-goes-to-rivkas-house/burmese-standard.html
3	La creación	M03.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-creation/burmese-standard.html
4	La tentación y caída del hombre  	M04.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-temptation-and-fall-of-mankind/burmese-standard.html
5	Abraham	M05.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-abraham/burmese-standard.html
6	Isaías	M06.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-isaiah/burmese-standard.html
7	Anuncio a María	M07.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-announcement-to-mary/burmese-standard.html
8	María visita a Elisabet	M08.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-marys-visit-to-elizabeth/burmese-standard.html
9	La reacción de José	M09.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-josephs-response/burmese-standard.html
10	El nacimiento de Jesús	M10.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-birth-of-jesus/burmese-standard.html
11	La profecía de Simeón	M11.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-simeons-prophecy/burmese-standard.html
12	Explicación del nacimiento milagroso	M12.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-explanation-of-miraculous-birth/burmese-standard.html
13	El bautismo de Jesús por Juan	M13.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-baptism-of-jesus-by-john/burmese-standard.html
14	Jesús proclama el cumplimiento de las Escrituras	M14.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-proclaims-fulfillment-of-the-scriptures/burmese-standard.html
15	María Magdalena es liberada de los demonios	M15.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
16	En la casa de Rivka, elección de los discípulos y las mujeres que sirven a Jesús	M16.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
17	Roma tomó todo, pero Jesús ofrece esperanza	M17.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rome-took-everything-but-jesus-offered-hope/burmese-standard.html
18	Jesús resucita al hijo de la viuda	M18.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-raises-the-widows-son/burmese-standard.html
19	El sermón del monte	M19.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-sermon-on-the-mount/burmese-standard.html
20	La mujer en el pozo	M20.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-at-the-well/burmese-standard.html
21	Enseñando sobre la oración y la fe	M21.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-prayer-and-faith/burmese-standard.html
22	Jesús pasa tiempo con los pecadores	M22.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-spends-time-with-sinners/burmese-standard.html
23	La mujer que padecía de flujo de sangre	M23.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-with-the-issue-of-blood/burmese-standard.html
24	Jesús resucita a la hija de Jairo	M24.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jairus-daughter-brought-back-to-life/burmese-standard.html
25	Jesús alimenta a los cinco mil	M25.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-feeds-5000/burmese-standard.html
26	Enseñanza sobre seguir a Jesús	M26.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-following-him/burmese-standard.html
27	Sanar en sábado	M27.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-healing-on-the-sabbath/burmese-standard.html
28	Líderes romanos y religiosos enojados con Jesús	M28.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-roman-and-religious-leaders-upset-with-jesus/burmese-standard.html
29	La ofrenda de la viuda	M29.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-widows-offering/burmese-standard.html
30	La mujer adúltera recibe perdón	M30.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-adulterous-woman-forgiven/burmese-standard.html
31	Judas ofrece entregar a Jesús	M31.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-judas-agrees-to-betray-jesus/burmese-standard.html
32	Traición y arresto de Jesús	M32.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-is-betrayed-arrested/burmese-standard.html
33	El juicio de Jesús	M33.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-on-trial/burmese-standard.html
34	Jesús lleva su cruz y es crucificado	M34.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-carries-his-cross-and-is-crucified/burmese-standard.html
35	María recuerda las palabras de Simeón	M35.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-recalls-simeons-words/burmese-standard.html
36	La promesa del paraíso al ladrón	M36.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-thief-promised-paradise/burmese-standard.html
37	Oscuridad y muerte de Jesús	M37.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-darkness-and-jesus-death/burmese-standard.html
38	Jesús es sepultado	M38.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-burial-of-jesus/burmese-standard.html
39	Las mujeres van al sepulcro y el cuerpo ya no está	M39.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-women-at-the-tomb-body-gone/burmese-standard.html
40	Jesús se aparece a María Magdalena	M40.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-magdalena-sees-the-resurrected-jesus/burmese-standard.html
41	Magdalena explica la muerte y resurrección de Jesús	M41.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-magdalena-explains-jesus-death-and-resurrection/burmese-standard.html
42	Conociendo a Dios personalmente	M42.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-knowing-god-personally/burmese-standard.html
43	Rivka cree en Jesús	M43.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rivka-believes/burmese-standard.html
44	Viviendo la vida cristiana	M44.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-living-the-christian-life/burmese-standard.html
