Magdalena	Magdalena — Burmese, Standard [mya]	images
0	Marie de Magdala	M00.png	https://www.jesusfilm.org/watch/magdalena.html/burmese-standard.html
1	Titre et introduction	M01.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-title-and-introduction/burmese-standard.html
2	Marie de Magdala se rend chez Rivka	M02.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-goes-to-rivkas-house/burmese-standard.html
3	La création	M03.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-creation/burmese-standard.html
4	La tentation et la chute de l’Homme	M04.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-temptation-and-fall-of-mankind/burmese-standard.html
5	Abraham	M05.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-abraham/burmese-standard.html
6	Esaïe	M06.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-isaiah/burmese-standard.html
7	L’annonce à Marie	M07.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-announcement-to-mary/burmese-standard.html
8	Marie se rend chez Elisabeth	M08.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-marys-visit-to-elizabeth/burmese-standard.html
9	La réponse de Joseph	M09.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-josephs-response/burmese-standard.html
10	La naissance de Jésus	M10.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-birth-of-jesus/burmese-standard.html
11	La prophétie de Siméon	M11.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-simeons-prophecy/burmese-standard.html
12	L’explication de la naissance miraculeuse	M12.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-explanation-of-miraculous-birth/burmese-standard.html
13	Baptême de Jésus par John	M13.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-baptism-of-jesus-by-john/burmese-standard.html
14	Jésus se fait baptisé par Jean	M14.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-proclaims-fulfillment-of-the-scriptures/burmese-standard.html
15	Marie de Magdala est libérée de ses démons	M15.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
16	Chez Rivka, les disciples choisis et les femmes qui suivent Jésus	M16.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
17	Rome a tout pris, mais Jésus a donné de l'espoir	M17.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rome-took-everything-but-jesus-offered-hope/burmese-standard.html
18	Jésus ranime le fils d’une veuve	M18.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-raises-the-widows-son/burmese-standard.html
19	Sermon sur la montagne	M19.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-sermon-on-the-mount/burmese-standard.html
20	La femme au puits	M20.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-at-the-well/burmese-standard.html
21	Enseignement sur la prière et la foi	M21.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-prayer-and-faith/burmese-standard.html
22	Jésus passe du temps avec des pécheurs	M22.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-spends-time-with-sinners/burmese-standard.html
23	La femme qui souffrait d’hémorragies	M23.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-with-the-issue-of-blood/burmese-standard.html
24	La fille de Jaïrus ramenée à la vie	M24.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jairus-daughter-brought-back-to-life/burmese-standard.html
