Magdalena	Magdalena — Burmese, Standard [mya]	images	
0	Magdalena	M00.png	https://www.jesusfilm.org/watch/magdalena.html/burmese-standard.html
1	Titel en introductie	M01.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-title-and-introduction/burmese-standard.html
2	Maria Magdalena gaat naar Rivka's huis	M02.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-goes-to-rivkas-house/burmese-standard.html
3	De Schepping	M03.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-creation/burmese-standard.html
4	Verleiding en zondeval	M04.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-temptation-and-fall-of-mankind/burmese-standard.html
5	Abraham	M05.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-abraham/burmese-standard.html
6	Jesaja	M06.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-isaiah/burmese-standard.html
7	De aankondiging aan Maria	M07.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-announcement-to-mary/burmese-standard.html
8	Maria's bezoek aan Elizabeth	M08.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-marys-visit-to-elizabeth/burmese-standard.html
9	Het antwoord van Jozef	M09.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-josephs-response/burmese-standard.html
10	De geboorte van Jezus	M10.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-birth-of-jesus/burmese-standard.html
11	De profetie van Simeon	M11.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-simeons-prophecy/burmese-standard.html
12	Uitleg over de wonderbaarlijke geboorte	M12.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-explanation-of-miraculous-birth/burmese-standard.html
13	De doop van Jezus door Johannes	M13.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-baptism-of-jesus-by-john/burmese-standard.html
14	Jezus zegt dat hij de Schrift heeft vervuld	M14.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-proclaims-fulfillment-of-the-scriptures/burmese-standard.html
15	Maria Magdalena wordt bevrijd van demonen	M15.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
16	Het huis van Rivka, de gekozen discipelen en vrouwelijke volgelingen	M16.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
17	De Romeinen hebben alles afgenomen maar Jezus biedt hoop	M17.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rome-took-everything-but-jesus-offered-hope/burmese-standard.html
18	Jezus wekt de zoon van de weduwe tot leven	M18.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-raises-the-widows-son/burmese-standard.html
19	De bergrede	M19.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-sermon-on-the-mount/burmese-standard.html
20	De vrouw bij de put	M20.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-at-the-well/burmese-standard.html
21	Lessen over gebed en geloof	M21.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-prayer-and-faith/burmese-standard.html
22	Jezus brengt tijd door met zondaars	M22.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-spends-time-with-sinners/burmese-standard.html
23	De bloedvloeiende vrouw	M23.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-with-the-issue-of-blood/burmese-standard.html
24	Het dochtertje van Jairus weer tot leven gewekt	M24.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jairus-daughter-brought-back-to-life/burmese-standard.html
25	Jezus voedt 5.000 mensen	M25.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-feeds-5000/burmese-standard.html
26	Lessen over het volgen van Jezus	M26.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-following-him/burmese-standard.html
27	Genezing op de sabbat	M27.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-healing-on-the-sabbath/burmese-standard.html
28	Romeinse en religieuze leiders storen zich aan Jezus	M28.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-roman-and-religious-leaders-upset-with-jesus/burmese-standard.html
29	Het geld van de arme weduwe	M29.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-widows-offering/burmese-standard.html
30	De overspelige vrouw wordt vergeven	M30.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-adulterous-woman-forgiven/burmese-standard.html
31	Judas stemt ermee in om Jezus te verraden	M31.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-judas-agrees-to-betray-jesus/burmese-standard.html
32	Jezus wordt verraden en gearresteerd	M32.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-is-betrayed-arrested/burmese-standard.html
33	Jezus wordt terechtgesteld	M33.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-on-trial/burmese-standard.html
34	Jezus draagt zijn kruis en wordt gekruisigd	M34.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-carries-his-cross-and-is-crucified/burmese-standard.html
35	Maria herinnert zich de woorden van Simeon	M35.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-recalls-simeons-words/burmese-standard.html
36	De dief wordt het paradijs beloofd	M36.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-thief-promised-paradise/burmese-standard.html
37	Duisternis en de dood van Jezus	M37.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-darkness-and-jesus-death/burmese-standard.html
38	De begrafenis van Jezus	M38.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-burial-of-jesus/burmese-standard.html
39	De vrouwen bij het graf, het lichaam is weg	M39.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-women-at-the-tomb-body-gone/burmese-standard.html
40	Magdalena ziet de Opgestane Jezus	M40.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-magdalena-sees-the-resurrected-jesus/burmese-standard.html
41	Magdalena legt de dood en opstanding van Jezus uit	M41.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-magdalena-explains-jesus-death-and-resurrection/burmese-standard.html
42	God persoonlijk kennen	M42.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-knowing-god-personally/burmese-standard.html
43	Rivka gelooft	M43.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rivka-believes/burmese-standard.html
44	Het christelijke leven	M44.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-living-the-christian-life/burmese-standard.html
