Magdalena	Magdalena — Burmese, Standard [mya]	images
0	Magdalena	M00.png	https://www.jesusfilm.org/watch/magdalena.html/burmese-standard.html
1	Title and Introduction	M01.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-title-and-introduction/burmese-standard.html
2	Mary Magdalene goes to Rivka's House	M02.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-goes-to-rivkas-house/burmese-standard.html
3	Creation	M03.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-creation/burmese-standard.html
4	Temptation and Fall of Mankind	M04.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-temptation-and-fall-of-mankind/burmese-standard.html
5	Abraham	M05.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-abraham/burmese-standard.html
6	Isaiah	M06.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-isaiah/burmese-standard.html
7	Announcement to Mary	M07.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-announcement-to-mary/burmese-standard.html
8	Mary's Visit to Elizabeth	M08.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-marys-visit-to-elizabeth/burmese-standard.html
9	Joseph's Response	M09.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-josephs-response/burmese-standard.html
10	Birth of Jesus	M10.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-birth-of-jesus/burmese-standard.html
11	Simeon's Prophecy	M11.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-simeons-prophecy/burmese-standard.html
12	Explanation of Miraculous Birth	M12.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-explanation-of-miraculous-birth/burmese-standard.html
13	Baptism of Jesus by John	M13.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-baptism-of-jesus-by-john/burmese-standard.html
14	Jesus Proclaims Fulfillment of the Scriptures	M14.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-proclaims-fulfillment-of-the-scriptures/burmese-standard.html
15	Mary Magdalene Freed from Demons	M15.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
16	Rivka's Home, Disciples Chosen and Women Followers	M16.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-magdalene-freed-from-demons/burmese-standard.html
17	Rome Took Everything but Jesus Offered Hope	M17.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-rome-took-everything-but-jesus-offered-hope/burmese-standard.html
18	Jesus Raises the Widow's Son	M18.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-raises-the-widows-son/burmese-standard.html
19	Sermon on the Mount	M19.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-sermon-on-the-mount/burmese-standard.html
20	The Woman at the Well	M20.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-at-the-well/burmese-standard.html
21	Teaching About Prayer and Faith	M21.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-prayer-and-faith/burmese-standard.html
22	Jesus Spends Time with Sinners	M22.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-spends-time-with-sinners/burmese-standard.html
23	The Woman with the Issue of Blood	M23.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-woman-with-the-issue-of-blood/burmese-standard.html
24	Jairus' Daughter Brought Back to Life	M24.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jairus-daughter-brought-back-to-life/burmese-standard.html
25	Jesus Feeds 5,000	M25.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-feeds-5000/burmese-standard.html
26	Teaching about Following Him	M26.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-teaching-about-following-him/burmese-standard.html
27	Healing on the Sabbath	M27.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-healing-on-the-sabbath/burmese-standard.html
28	Roman and Religious Leaders Upset with Jesus	M28.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-roman-and-religious-leaders-upset-with-jesus/burmese-standard.html
29	Widow's Offering	M29.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-widows-offering/burmese-standard.html
30	The Adulterous Woman Forgiven	M30.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-adulterous-woman-forgiven/burmese-standard.html
31	Judas Agrees to Betray Jesus	M31.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-judas-agrees-to-betray-jesus/burmese-standard.html
32	Jesus Is Betrayed, Arrested	M32.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-is-betrayed-arrested/burmese-standard.html
33	Jesus on Trial	M33.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-on-trial/burmese-standard.html
34	Jesus Carries His Cross and Is Crucified	M34.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-jesus-carries-his-cross-and-is-crucified/burmese-standard.html
35	Mary Recalls Simeon's Words	M35.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-mary-recalls-simeons-words/burmese-standard.html
36	The Thief Promised Paradise	M36.png	https://www.jesusfilm.org/watch/magdalena.html/magdalena-the-thief-promised-paradise/burmese-standard.html
