JesusFilm	La Película JESÚS — Nahuatl, Guerrero Aztec  [ngu]	images
0	La Película JESÚS	JF00.png	http://www.jesusfilm.org/watch/jesus.html/nahuatl-guerrero-aztec.html
1	El principio	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/nahuatl-guerrero-aztec.html
2	El nacimiento de Jesús	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/nahuatl-guerrero-aztec.html
3	La infancia de Jesús	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/nahuatl-guerrero-aztec.html
4	El bautismo de Jesús	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/nahuatl-guerrero-aztec.html
5	El diablo tienta a Jesús	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/nahuatl-guerrero-aztec.html
6	Jesús proclama el cumplimiento de las Escrituras	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/nahuatl-guerrero-aztec.html
7	La parábola del fariseo y el recaudador de impuestos	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/nahuatl-guerrero-aztec.html
8	La pesca milagrosa	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/nahuatl-guerrero-aztec.html
9	La hija de Jairo devuelta a la vida	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/[language name].htm
10	La elección de los discípulos	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/nahuatl-guerrero-aztec.html
11	Las bienaventuranzas	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/nahuatl-guerrero-aztec.html
12	El sermón del monte	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/nahuatl-guerrero-aztec.html
13	Bienaventurados los que oyen y obedecen	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/nahuatl-guerrero-aztec.html
14	Una mujer pecadora es perdonada	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/nahuatl-guerrero-aztec.html
15	Las mujeres que seguían a Jesús	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/nahuatl-guerrero-aztec.html
