JesusFilm	De JEZUS Film — Nahuatl, Guerrero Aztec  [ngu]	images
0	De JEZUS Film	JF00.png	http://www.jesusfilm.org/watch/jesus.html/nahuatl-guerrero-aztec.html
1	Het begin	JF01.png	http://www.jesusfilm.org/watch/jesus.html/the-beginning/nahuatl-guerrero-aztec.html
2	Geboorte van Jezus	JF02.png	http://www.jesusfilm.org/watch/jesus.html/birth-of-jesus/nahuatl-guerrero-aztec.html
3	Kinderjaren van Jezus	JF03.png	http://www.jesusfilm.org/watch/jesus.html/childhood-of-jesus/nahuatl-guerrero-aztec.html
4	Doop van Jezus door Johannes	JF04.png	http://www.jesusfilm.org/watch/jesus.html/baptism-of-jesus-by-john/nahuatl-guerrero-aztec.html
5	Jezus verzocht in de woestijn	JF05.png	http://www.jesusfilm.org/watch/jesus.html/the-devil-tempts-jesus/nahuatl-guerrero-aztec.html
6	Jezus verkondigt de vervulling van Schriftwoord	JF06.png	http://www.jesusfilm.org/watch/jesus.html/jesus-proclaims-fulfillment-of-the-scriptures/nahuatl-guerrero-aztec.html
7	Gelijkenis van de Farizeeër en Tollenaar	JF07.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-pharisee-and-tax-collector/nahuatl-guerrero-aztec.html
8	Wonderbaarlijke visvangst	JF08.png	http://www.jesusfilm.org/watch/jesus.html/miraculous-catch-of-fish/nahuatl-guerrero-aztec.html
9	Dochter van Jaïrus weer tot leven gebracht	JF09.png	http://www.jesusfilm.org/watch/jesus.html/jairus-daughter-brought-back-to-life/nahuatl-guerrero-aztec.html
10	Discipelen worden gekozen	JF10.png	http://www.jesusfilm.org/watch/jesus.html/disciples-chosen/nahuatl-guerrero-aztec.html
11	Zaligsprekingen	JF11.png	http://www.jesusfilm.org/watch/jesus.html/beatitudes/nahuatl-guerrero-aztec.html
12	Bergrede	JF12.png	http://www.jesusfilm.org/watch/jesus.html/sermon-on-the-mount/nahuatl-guerrero-aztec.html
13	Gezegend zijn zij die horen en gehoorzamen	JF13.png	http://www.jesusfilm.org/watch/jesus.html/blessed-are-those-who-hear-and-obey/nahuatl-guerrero-aztec.html
14	Overspelige vrouw vergeven	JF14.png	http://www.jesusfilm.org/watch/jesus.html/sinful-woman-forgiven/nahuatl-guerrero-aztec.html
15	Vrouwelijke discipelen	JF15.png	http://www.jesusfilm.org/watch/jesus.html/women-disciples/nahuatl-guerrero-aztec.html
16	Johannes de Doper in de gevangenis	JF16.png	http://www.jesusfilm.org/watch/jesus.html/john-the-baptist-in-prison/nahuatl-guerrero-aztec.html
17	Gelijkenis van de zaaier en het zaad	JF17.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-sower-and-the-seed/nahuatl-guerrero-aztec.html
18	Gelijkenis van de lamp	JF18.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-lamp/nahuatl-guerrero-aztec.html
19	Jezus kalmeert de storm	JF19.png	http://www.jesusfilm.org/watch/jesus.html/jesus-calms-the-storm/nahuatl-guerrero-aztec.html
20	Genezing van bezetene	JF20.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-the-demoniac/nahuatl-guerrero-aztec.html
21	De spijziging van de vijfduizend	JF21.png	http://www.jesusfilm.org/watch/jesus.html/jesus-feeds-5000/nahuatl-guerrero-aztec.html
22	Peter verklaart dat Jezus de Christus is	JF22.png	http://www.jesusfilm.org/watch/jesus.html/peter-declares-jesus-to-be-the-christ/nahuatl-guerrero-aztec.html
23	De verheerlijking op de berg	JF23.png	http://www.jesusfilm.org/watch/jesus.html/the-transfiguration/nahuatl-guerrero-aztec.html
24	Jesus geneest jongen van boze geest	JF24.png	http://www.jesusfilm.org/watch/jesus.html/jesus-heals-boy-from-evil-spirit/nahuatl-guerrero-aztec.html
25	Het Onze Vader	JF25.png	http://www.jesusfilm.org/watch/jesus.html/the-lord-prayer/nahuatl-guerrero-aztec.html
26	Onderwijs over gebed en geloof	JF26.png	http://www.jesusfilm.org/watch/jesus.html/teaching-about-prayer-and-faith/nahuatl-guerrero-aztec.html
27	Wee degenen die anderen doen zondigen	JF27.png	http://www.jesusfilm.org/watch/jesus.html/woe-to-those-who-cause-others-to-sin/nahuatl-guerrero-aztec.html
28	Het Koninkrijk van God is als een mosterdzaadje	JF28.png	http://www.jesusfilm.org/watch/jesus.html/the-kingdom-of-god-as-a-mustard-seed/nahuatl-guerrero-aztec.html
29	Jezus brengt tijd door met zondaars	JF29.png	http://www.jesusfilm.org/watch/jesus.html/jesus-spends-time-with-sinners/nahuatl-guerrero-aztec.html
30	Genezing op de sabbat	JF30.png	http://www.jesusfilm.org/watch/jesus.html/healing-on-the-sabbath/nahuatl-guerrero-aztec.html
31	Gelijkenis van de barmhartige Samaritaan	JF31.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-good-samaritan/nahuatl-guerrero-aztec.html
32	Genezing van Bartimeüs	JF32.png	http://www.jesusfilm.org/watch/jesus.html/healing-of-bartimaeus/nahuatl-guerrero-aztec.html
33	Jezus en Zacheüs	JF33.png	http://www.jesusfilm.org/watch/jesus.html/jesus-and-zaccheus/nahuatl-guerrero-aztec.html
34	Jezus voorspelt Zijn dood en opstanding	JF34.png	http://www.jesusfilm.org/watch/jesus.html/jesus-predicts-his-death-and-resurrection/nahuatl-guerrero-aztec.html
35	Triomfantelijke intocht van Jezus	JF35.png	http://www.jesusfilm.org/watch/jesus.html/jesus-triumphal-entry/nahuatl-guerrero-aztec.html
36	Jezus huilt over Jeruzalem	JF36.png	http://www.jesusfilm.org/watch/jesus.html/jesus-weeps-over-jerusalem/nahuatl-guerrero-aztec.html
37	Jezus verdrijft de geldwisselaars	JF37.png	http://www.jesusfilm.org/watch/jesus.html/jesus-drives-out-money-changers/nahuatl-guerrero-aztec.html
38	Het penningske van de weduwe	JF38.png	http://www.jesusfilm.org/watch/jesus.html/widow-offering/nahuatl-guerrero-aztec.html
39	Vragen van Annas over de autoriteit van Jezus	JF39.png	http://www.jesusfilm.org/watch/jesus.html/annas-questions-jesus-authority/nahuatl-guerrero-aztec.html
40	Gelijkenis van de wijngaard en de huurders	JF40.png	http://www.jesusfilm.org/watch/jesus.html/parable-of-the-vineyard-and-tenants/nahuatl-guerrero-aztec.html
41	Het betalen van belasting aan Caesar	JF41.png	http://www.jesusfilm.org/watch/jesus.html/paying-taxes-to-caesar/nahuatl-guerrero-aztec.html
42	Het laatste avondmaal	JF42.png	http://www.jesusfilm.org/watch/jesus.html/the-last-supper/nahuatl-guerrero-aztec.html
43	Laatste onderwijs aan de discipelen	JF43.png	http://www.jesusfilm.org/watch/jesus.html/upper-room-teaching/nahuatl-guerrero-aztec.html
44	Jezus wordt verraden en opgepakt	JF44.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-betrayed-and-arrested/nahuatl-guerrero-aztec.html
45	Petrus verloochent Jezus	JF45.png	http://www.jesusfilm.org/watch/jesus.html/peter-disowns-jesus/nahuatl-guerrero-aztec.html
46	Jezus wordt bespot en ondervraagd	JF46.png	http://www.jesusfilm.org/watch/jesus.html/jesus-is-mocked-and-questioned/nahuatl-guerrero-aztec.html
