ScriptureAnim	Videos de las Escrituras en la lengua de Náhuatl de Guerrero [ngu]	images
0	Playlist	ScriptureAnim.png	data/ngu/video/ngu-Conversion_de_Saulo-Hechos9.1-19-640.mp4
1	Visit of the Magi (Matthew 2.1-23)	magi.png	data/ngu/video/ngu-Visita_de_los_magos-Mateo2.1-23-640.mp4
2	Jesus Walks on Water (Matthew 14.22-36)	walkonwater.png	data/ngu/video/ngu-Jesus_camina_sobre_el_agua-Mateo14.22-36-640.mp4
3	The Transfiguration (Matthew 17.1-13)	transfiguration.png	data/ngu/video/ngu-Transfiguracion-Mateo17.1-13-640.mp4
4	Jesus is Baptized (Mark 1:4-11)	baptism.png	data/ngu/video/ngu-Jesus_es_bautizado-Marcos1-4-11-640.mp4
5	Jesus Calms the Storm (Mark 4.35-41)	storm.png	data/ngu/video/ngu-Jesus_calma_la_tormenta-Marcos4.35-41-640.mp4
6	Jesus Casts Out Demons (Mark 5.1-20)	demoniac.png	data/ngu/video/ngu-Jesus_expulsa_unos_demonios-Marcos5.1-20-640.mp4
7	Jesus Feeds 5000 (Mark 6.30-44)	5000.png	data/ngu/video/ngu-Jesus_alimenta_a_los_cinco_mil-Marcos6.30-44-640.mp4
8	Jesus Heals a Boy with an Unclean Spirit (Mark 9.14-29)	muchacho.png	data/ngu/video/ngu-Sana_muchacho_espiritu-Marcos9.14-29-640.mp4
9	The Widow's offering (Mark 12.41-44)	widow.png	data/ngu/video/ngu-Ofrenda_de_la_viuda-Marcos12.41-44-640.mp4
10	The Last Supper (Mark 14.12-26)	supper.png	data/ngu/video/ngu-Ultima_cena-Marcos14.12-26-640.mp4
11	Jesus is Arrested and Tried (Mark 14.32-27)	arrest.png	data/ngu/video/ngu-Jesus_es_arrestado_e_interrogado-Marcos14.32-72-640.mp4
12	Crucifixion and Resurrection of Jesus (Mark 15-16)	crucifixion.png	data/ngu/video/ngu-Crucifixion_y_resurreccion_de_Jesus-Marcos15-16-640.mp4
13	The birth of Jesus foretold (Luke 1.26-38)	announce.png	data/ngu/video/ngu-Anuncia_nacimiento_Jesus-Lucas1.26-38-640.mp4
14	Jesus Heals a Paralytic (Luke 5.17-26)	paralytic.png	data/ngu/video/ngu-Jesus_sana_a_un_paralitico-Lucas5.17-26-640.mp4
15	The Good Samaritan (Luke 10:25-37)	goodsamaritan.png	data/ngu/video/ngu-Parabola-del-buen-samaritano-Lucas10.25-37-640.mp4
16	Jesus and Zacchaeus (Luke 19.1-9)	zaccheus.png	data/ngu/video/ngu-Zaqueo-Lucas19.1-9-640.mp4
17	Jesus Enters Jerusalem (Luke 19.28-44)	jerusalem.png	data/ngu/video/ngu-Jesus_entra_Jerusalen-Lucas19.28-44.mp4
18	Wedding at Cana (John 2.1-11)	wedding.png	data/ngu/video/ngu-Boda_en_Cana-Juan2.1-11-640.mp4
19	Jesus and Nicodemus (John 3)	nicodemus.png	data/ngu/video/ngu-Jesus_nicodemo-Juan3-640.mp4
20	The Samaritan Woman (John 4.4-42)	samaritanwoman.png	data/ngu/video/ngu-Mujer_de_Samaria-Juan4.4-42-640.mp4
21	Jesus Heals a Man Born Blind (John 9.1-41)	blind.png	data/ngu/video/ngu-Jesus_sana_a_un_hombre_que_nacio_ciego-Juan9.1-41-640.mp4
22	Jesus Raises Lazarus (John 11)	lazarus.png	data/ngu/video/ngu-Lazaro-Juan11-640.mp4
23	Jesus Washes the Disciple's Feet (John 13.1-17)	feet.png	data/ngu/video/ngu-Jesus_les_lava_los_pies_a_sus_seguidores-Juan13.1-17-640.mp4
24	Jesus Ascends to Heaven (Acts 1.4-11)	ascent.png	data/ngu/video/ngu-Jesus_sube_cielo-Hechos1.4-11-640.mp4
25	Conversion of Saul (Acts 9.1-19)	saul.png	data/ngu/video/ngu-Conversion_de_Saulo-Hechos9.1-19-640.mp4
26	The Shipwreck (Acts 27-28.10)	shipwreck.png	data/ngu/video/ngu-naufragio-Hechos27-28.10-640.mp4
