ScriptureAnim	Videos de las Escrituras en la lengua de Náhuatl de Guerrero [ngu]	images
0	Playlist	ScriptureAnim.png	data/ngu/video/ngu-Conversion_de_Saulo-Hechos9.1-19-640.mp4
1	Visita de los magos (Mateo 2.1-23)	magi.png	data/ngu/video/ngu-Visita_de_los_magos-Mateo2.1-23-640.mp4
2	Jesús camina sobre el agua (Mateo 14.22-36)	walkonwater.png	data/ngu/video/ngu-Jesus_camina_sobre_el_agua-Mateo14.22-36-640.mp4
3	La transfiguración de Jesús (Mateo 17.1-13)	transfiguration.png	data/ngu/video/ngu-Transfiguracion-Mateo17.1-13-640.mp4
4	Jesús es bautizado (Marcos 1:4-11)	baptism.png	data/ngu/video/ngu-Jesus_es_bautizado-Marcos1-4-11-640.mp4
5	Jesús calma la tormenta (Marcos 4.35-41)	storm.png	data/ngu/video/ngu-Jesus_calma_la_tormenta-Marcos4.35-41-640.mp4
6	Jesús expulsa unos demonios (Marcos 5.1-20)	demoniac.png	data/ngu/video/ngu-Jesus_expulsa_unos_demonios-Marcos5.1-20-640.mp4
7	Jesús alimenta a los cinco mil (Marcos 6.30-44)	5000.png	data/ngu/video/ngu-Jesus_alimenta_a_los_cinco_mil-Marcos6.30-44-640.mp4
8	Jesús sana a un muchacho que tenía un espíritu impuro (Marcos 9.14-29)	muchacho.png	data/ngu/video/ngu-Sana_muchacho_espiritu-Marcos9.14-29-640.mp4
9	La ofrenda de la viuda (Marcos 12.41-44)	widow.png	data/ngu/video/ngu-Ofrenda_de_la_viuda-Marcos12.41-44-640.mp4
10	La última cena (Marcos 14.12-26)	supper.png	data/ngu/video/ngu-Ultima_cena-Marcos14.12-26-640.mp4
11	Jesús es arrestado e interrogado (Marcos 14.32-27)	arrest.png	data/ngu/video/ngu-Jesus_es_arrestado_e_interrogado-Marcos14.32-72-640.mp4
12	Crucifixión y resurrección de Jesús (Marcos 15-16)	crucifixion.png	data/ngu/video/ngu-Crucifixion_y_resurreccion_de_Jesus-Marcos15-16-640.mp4
13	Un ángel anuncia el nacimiento de Jesús (Lucas 1.26-38)	announce.png	data/ngu/video/ngu-Anuncia_nacimiento_Jesus-Lucas1.26-38-640.mp4
14	Jesús sana a un paralítico (Lucas 5.17-26)	paralytic.png	data/ngu/video/ngu-Jesus_sana_a_un_paralitico-Lucas5.17-26-640.mp4
15	Parábola del buen samaritano (Lucas 10:25-37)	goodsamaritan.png	data/ngu/video/ngu-Parabola-del-buen-samaritano-Lucas10.25-37-640.mp4
16	Jesús y Zaqueo (Lucas 19.1-9)	zaccheus.png	data/ngu/video/ngu-Zaqueo-Lucas19.1-9-640.mp4
17	Jesús entra en Jerusalén (Lucas 19.28-44)	jerusalem.png	data/ngu/video/ngu-Jesus_entra_Jerusalen-Lucas19.28-44.mp4
18	La boda en Caná (Juan 2.1-11)	wedding.png	data/ngu/video/ngu-Boda_en_Cana-Juan2.1-11-640.mp4
19	Jesús y Nicodemo (Juan 3)	nicodemus.png	data/ngu/video/ngu-Jesus_nicodemo-Juan3-640.mp4
20	La mujer de Samária (Juan 4.4-42)	samaritanwoman.png	data/ngu/video/ngu-Mujer_de_Samaria-Juan4.4-42-640.mp4
21	Jesús sana a un hombre que nació ciego (Juan 9.1-41)	blind.png	data/ngu/video/ngu-Jesus_sana_a_un_hombre_que_nacio_ciego-Juan9.1-41-640.mp4
22	Resurrección de Lázaro (Juan 11)	lazarus.png	data/ngu/video/ngu-Lazaro-Juan11-640.mp4
23	Jesús les lava los pies a sus seguidores (Juan 13.1-17)	feet.png	data/ngu/video/ngu-Jesus_les_lava_los_pies_a_sus_seguidores-Juan13.1-17-640.mp4
24	Jesús sube al cielo (Hechos 1.4-11)	ascent.png	data/ngu/video/ngu-Jesus_sube_cielo-Hechos1.4-11-640.mp4
25	Conversión de Saulo (Hechos 9.1-19)	saul.png	data/ngu/video/ngu-Conversion_de_Saulo-Hechos9.1-19-640.mp4
26	El naufragio (Hechos 27-28.10)	shipwreck.png	data/ngu/video/ngu-naufragio-Hechos27-28.10-640.mp4
