JohnAnim	Videos de San Juan de las Escrituras en la lengua de Náhuatl de Guerrero de México. [ngu]	images	
0	Playlist	JnAnim.png	
1	La Palabra (Juan 1.1-18)	JnAnim01.01-18.png	data/ngu/video/ngu-Jn01_01-18-La_Palabra.mp4
2	Juan el Bautista identifica al Mesías (Juan 1.19-34)	JnAnim01.19-34.png	data/ngu/video/ngu-Jn01_19-34-Juan_Bautista.mp4
3	Los seguidores siguen a Jesús (Juan 1.35-51)	JnAnim01.35-51.png	data/ngu/video/ngu-Jn01_35-51-Discipulos_siguen_Jesus.mp4
4	El milagro en Cana (Juan 2.1-12)	JnAnim02.01-12.png	data/ngu/video/ngu-Jn02_01-12-Milagro_en_Cana.mp4
5	Jesús en el patio del templo (Juan 2.13-25)	JnAnim02.13-25.png	data/ngu/video/ngu-Jn02_13-25-Jesus_en_templo.mp4
6	Jesús habla con Nicodemo (Juan 3.1-21)	JnAnim03.01-21.png	data/ngu/video/ngu-Jn03_01-21-Nicodemo.mp4
7	Juan testifica acerca de Jesús (Juan 3.22-36)	JnAnim03.22-36.png	data/ngu/video/ngu-Jn03_22-36-Juan_testifica_Jesus.mp4
8	Jesús habla con una mujer samaritana (Juan 4.1-42)	JnAnim04.01-42.png	data/ngu/video/ngu-Jn04_01-42-Mujer_samaritana.mp4
9	Jesús sana el hijo de un oficial (Juan 4.43-54)	JnAnim04.43-54.png	data/ngu/video/ngu-Jn04_43-54-Curar_al_hijo_del_oficial.mp4
10	Jesús cura en Sábado (Juan 5.1-15)	JnAnim05.01-15.png	data/ngu/video/ngu-Jn05_01-15-Cura_en_sabado.mp4
11	Jesús defiende su autoridad (Juan 5.16-47)	JnAnim05.16-47.png	data/ngu/video/ngu-Jn05_16-47-Jesus_defiende_su_autoridad.mp4
12	Jesús alimenta una multitud (Juan 6.1-15)	JnAnim06.01-15.png	data/ngu/video/ngu-Jn06_01-15-Jesus_alimenta_una_multitud.mp4
13	Jesús camina sobre el agua (Juan 6.16-22)	JnAnim06.16-22.png	data/ngu/video/ngu-Jn06_16-22-Caminar_sobre_el_agua.mp4
14	El pan de vida (Juan 6.22-71)	JnAnim06.22-71.png	data/ngu/video/ngu-Jn06_22-71-Pan_de_vida.mp4
15	Los líderes judíos quieren matar a Jesús (Juan 7.1-24)	JnAnim07.01-24.png	data/ngu/video/ngu-Jn07_01-24-Lideres_quieren_matar_Jesus.mp4
16	Los líderes tratan de arrestar a Jesús (Juan 7.25-53)	JnAnim07.25-53.png	data/ngu/video/ngu-Jn07_25-81-Lideres_tratan_de_arrestar_a_Jesus.mp4
17	Jesús perdona a una mujer condenada (Juan 8.1-11)	JnAnim08.02-11.png	data/ngu/video/ngu-Jn08_01-11-Mujer_perdonada.mp4
18	Jesús es la luz del mundo (Juan 8.12-30)	JnAnim08.12-30.png	data/ngu/video/ngu-Jn08_12-30-Luz_del_mundo.mp4
19	Jesús se enfrenta a seguidores falsos (Juan 8.31-59)	JnAnim08.31-59.png	data/ngu/video/ngu-Jn08_31-59-Falsos_discipulos.mp4
20	Jesús cura a un ciego (Juan 9.1-41)	JnAnim09.01-41.png	data/ngu/video/ngu-Jn09_01-41-Jesus_cura_a_un_ciego.mp4
21	Jesús el buen pastor (Juan 10.1-21)	JnAnim10.01-21.png	data/ngu/video/ngu-Jn10_01-21-Jesus_el_buen_pastor.mp4
22	Jesús acusado de blasfemia (Juan 10.22-42)	JnAnim10.22-42.png	data/ngu/video/ngu-Jn10_22-42-Jesus_acusado_de_blasfemia.mp4
23	Jesús eleva a Lázaro (Juan 11.1-57)	JnAnim11.01-57.png	data/ngu/video/ngu-Jn11_01-57-Jesus_eleva_a_lazarus.mp4
24	Maria unge a Jesús (Juan 12.1-11)	JnAnim12.01-11.png	data/ngu/video/ngu-Jn12_01-11-Maria_unge_a_jesus.mp4
25	Entrada triunfal a Jerusalén (Juan 12.12-19)	JnAnim12.12-19.png	data/ngu/video/ngu-Jn12_12-19-Entra_en_Jerusalen.mp4
26	Jesús predice su muerte (Juan 12.20-36)	JnAnim12.20-36.png	data/ngu/video/ngu-Jn12_20-36-Jesus_predice_su_muerte.mp4
27	Creyentes y no creyentes (Juan 12.37-50)	JnAnim12.37-50.png	data/ngu/video/ngu-Jn12_37-50-Creyentes_y_no_creyentes.mp4
28	Jesús lava los pies de los discipulos (Juan 13.1-17)	JnAnim13.01-17.png	data/ngu/video/ngu-Jn13_01-17-Jesus_lava_los_pies_de_los_discipulos.mp4
29	Jesús predice la traición (Juan 13.18-38)	JnAnim13.18-38.png	data/ngu/video/ngu-Jn13_18-38-Jesus_predice_la_traicion.mp4
30	El único camino a Dios (Juan 14.1-14)	JnAnim14.01-14.png	data/ngu/video/ngu-Jn14_01-14-El_unico_camino_a_Dios.mp4
31	Jesús habla del Espíritu Santo (Juan 14.15-31)	JnAnim14.15-31.png	data/ngu/video/ngu-Jn14_15-31-Jesus_habla_del_Espiritu_Santo.mp4
32	La vid y las ramas (Juan 15.1-17)	JnAnim15.01-17.png	data/ngu/video/ngu-Jn15_01-17-La_vid_y_las_ramas.mp4
33	Jesús advierte sobre la persecución (Juan 15.18-16.4)	JnAnim15.18-16.4.png	data/ngu/video/ngu-Jn15_18-16_4-Jesus_advierte_sobre_la_persecucion.mp4
34	Más enseñanza sobre el Espíritu Santo (Juan 16.5-33)	JnAnim16.05-33.png	data/ngu/video/ngu-Jn16_05-33-Mas_ensenanza_sobre_el_Espiritu_Santo.mp4
35	Jesús ora por sus seguidores (Juan 17.1-26)	JnAnim17.01-26.png	data/ngu/video/ngu-Jn17_01-26-Jesus_ora_por_sus_seguidores.mp4
36	Jesús traicionado y arrestado (Juan 18.1-14)	JnAnim18.01-14.png	data/ngu/video/ngu-Jn18_01-14-Jesus_traicionado_arrestado.mp4
37	Pedro niega conocer a Jesús y Anás pregunta a Jesús (Juan 18.15-27)	JnAnim18.15-27.png	data/ngu/video/ngu-Jn18_15-27-Pedro_niega_a_Jesus_y_Anas_pregunta_a_Jesus.mp4
38	Pilato le pregunta a Jesús (Juan 18.28-40)	JnAnim18.28-40.png	data/ngu/video/ngu-Jn18_28-40-Pilato_le_pregunta_a_Jesus.mp4
39	Jesús condenado a muerte (Juan 19.1-16)	JnAnim19.01-16.png	data/ngu/video/ngu-Jn19_01-16a-Jesus_condenado_a_muerte.mp4
40	La crucifixion (Juan 19.16-37)	JnAnim19.16-37.png	data/ngu/video/ngu-Jn19_16b-37-La_crucifixion.mp4
41	La resurrección (Juan 19.38-20.18)	JnAnim19.38-20.18.png	data/ngu/video/ngu-Jn19_38-20_18-La_resurreccion.mp4
42	Jesús se aparece a los discípulos (Juan 20.19-31)	JnAnim20.19-31.png	data/ngu/video/ngu-Jn20_19-31-Jesus_se_aparece_a_los_discipulos.mp4
43	Jesús en el mar de Galilea (Juan 21.1-25)	JnAnim21.01-25.png	data/ngu/video/ngu-Jn21_01-25-Jesus_en_el_mar_de_Galilea.mp4
