JohnAnim	Juan - Náhuatl de Guerrero	[mza]	images	
0	Playlist	JnAnim.png	https://youtube.com/playlist?list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A
1	The Word (John 1:1-18)	JnAnim01.01-18.png	https://www.youtube.com/watch?v=OwWehMXEWKk&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=1
2	John the Baptist identifies the Messiah (John 1:19-34)	JnAnim01.19-34.png	https://www.youtube.com/watch?v=Tolg57iSIfo&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=2
3	The disciples follow Jesus (John 1:35-51)	JnAnim01.35-51.png	https://www.youtube.com/watch?v=uUclcJYqA98&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=3
4	The miracle at Cana (John 2:1-12)	JnAnim02.01-12.png	https://www.youtube.com/watch?v=5aTJ4Cgs8K4&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=4
5	Jesus in the Temple courtyard (John 2:13-25)	JnAnim02.13-25.png	https://www.youtube.com/watch?v=6YZ-o22p5fA&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=5
6	Jesus speaks with Nicodemus (John 3:1-21)	JnAnim03.01-21.png	https://www.youtube.com/watch?v=HitvzT2Ia24&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=6
7	John testifies about Jesus (John 3:22-36)	JnAnim03.22-36.png	https://www.youtube.com/watch?v=TOzd01XId-I&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=7
8	Jesus speaks with a Samaritan woman (John 4:1-42)	JnAnim04.01-42.png	https://www.youtube.com/watch?v=V4jBsXfQz34&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=8
9	Jesus heals an officials son  (John 4:43-54)	JnAnim04.43-54.png	https://www.youtube.com/watch?v=gwD3pLZ3fNI&list=PLoDMmx9LIxpNulh2DACSUHlWJQIPdOc0A&index=9
