ScriptureAnim	Videos de las Escrituras en la lengua de Náhuatl de Guerrero [ngu]	images
0	Playlist	ScriptureAnim.png	https://www.youtube.com/playlist?list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q
1	Jesús calma la tormenta (Marcos 4.35-41)	storm.png	https://www.youtube.com/watch?v=lNmFQ7cL5DY&index=2&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
2	Jesús expulsa unos demonios (Marcos 5.1-20)	demoniac.png	https://www.youtube.com/watch?v=H4BnxMEo9r0&index=3&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
3	Jesús alimenta a los cinco mil (Marcos 6.30-44)	5000.png	https://www.youtube.com/watch?v=T1eFPSWb2QM&index=4&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
4	La última cena  (Marcos 14.12-26)	supper.png	https://www.youtube.com/watch?v=7ekJhIzeX1g&index=5&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
5	Crucifixión y resurrección de Jesús (Marcos 15-16)	crucifixion.png	https://www.youtube.com/watch?v=3L3DFR_hB_k&index=6&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
6	Jesús sana a un paralítico (Lucas 5.17-26)	paralytic.png	https://www.youtube.com/watch?v=l3RZi6ZI3SM&index=7&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
7	Parábola del buen samaritano (Lucas 10.25-37)	goodsamaritan.png	https://www.youtube.com/watch?v=wZQPMQhVLrk&t=0s&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&index=8
8	Jesús les lava los pies a sus seguidores (Juan 13.1-17)	feet.png	https://www.youtube.com/watch?v=l3RZi6ZI3SM&index=7&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s
9	Conversión de Saulo (Hechos 9.1-19)	saul.png	https://www.youtube.com/watch?v=l3RZi6ZI3SM&index=7&list=PLoDMmx9LIxpMIVl6b0i1jvJpzT2y8Gs2Q&t=0s

