English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML	Google Play (Android app)	Android App (SE version)	Buy	BibleIs	YouVersion	Bibles.org	GRN	GoBible	MySword (Android)	Playlist Audio	Jesus Film (SE and YouTube)	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video	Scripture Animation Video	The Last Day Video	Jesus/Children Video	History	5fish	iTunes	Maps	
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=hmd	China															1											https://www.scriptureearth.org/data/hmd/video/JESUSFilm-hmd.txt							https://www.scriptureearth.org/data/hmd/video/Magdalena-hmd.txt									
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aiw	Ethiopia															1											https://www.scriptureearth.org/data/aiw/video/JESUSFilm-aiw.txt																
Aatasara South Tairora	Tairora, South	omw	"vinat		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=omw&ROD_Code=vinat	Papua New Guinea															1																											
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=bzy	Nigeria															1																											
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aau	Papua New Guinea	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.aau.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/abau-nt-aau	https://live.bible.is/bible/AAUWBT/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1015/MAT.1	Bibles.org: https://bibles.org/aau-AAUNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/519	AbauNT.jar	 aau.bbl.mybible		https://www.scriptureearth.org/data/aau/video/JESUSFilm-aau.txt															languages of Papua New Guinea: http://www.ethnologue.com/map/PG_05	
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abi	Côte d'Ivoire															1																											
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=kgr	Indonesia															1																											
Aceh	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie, Tunong, Pedir, Timu, Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh	ace			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ace	Indonesia															1											https://www.scriptureearth.org/data/ace/video/JESUSFilm-ace.txt																
Achagua	Ajagua, Xagua, Xagua	aca			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aca	Colombia	10		10												1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.aca.nt.apk		New Testament portions (Virtual Storehouse): http://virtualstorehouse.org/achagua-nt-aca						 aca.bbl.mybible																		
Achí	Rabinal K’iche’, Rabinal Achí	acr		b	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&Variant_Code=b	Guatemala, Guatemala	27	260			1	1									1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.acrn.nt.apk	https://www.scriptureearth.org/data/acr/study/acrN_Achi_Rabinal-N_Biblia-4.7.apk: (Version 4.7)	New Testament (Virtual Storehouse): http://virtualstorehouse.org/rabinal-achi-nt-acr-new-alphabet	https://live.bible.is/bible/ACRNNT/mat/1	Bible.com (YouVersion) - Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	Bibles.org - Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://bibles.org/acr-ACRNNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C09570		 acr-n.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-b.txt																
Achí	Rabinal K’iche’, Rabinal Achí, Cubulco Achi, Maya Achi, Rabinal Achi, Achi, Qach’a’teem	acr		a	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&Variant_Code=a	Guatemala, Guatemala	27	260			1	1									1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.acrt.nt.apk	https://www.scriptureearth.org/data/acr/study/acrT_Achi_Rabinal-T_Biblia-4.7.apk: (version 4.7 (Android 2.3.3 minimum))	New Testament (Traditional Alphabet) (Virtual Storehouse): http://virtualstorehouse.org/rabinal-achi-nt-acr-traditional-alphabet		Bible.com (YouVersion) - Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRTNT): https://www.bible.com/bible/513/MAT.1 ## Bible.com (YouVersion) - Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	Bibles.org - Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRTNT): https://bibles.org/acr-ACRTNT/Matt/1 ## Bibles.org - Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://bibles.org/acr-ACRNNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C09570		 acr-t.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-a.txt																
Achi\', Cubulco		acr	"2098		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&ROD_Code=2098	Guatemala	27				1										1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.acrc.nt.apk		New Testament (Virtual Storehouse): http://virtualstorehouse.org/achi-de-cubulco-nt-acc	https://live.bible.is/bible/ACCIBS/Mat/1	Bible.com (YouVersion) - I 'utz laj tzij re i dios (ACRNT): https://www.bible.com/bible/3/MAT.1	Bibles.org - I 'utz laj tzij re i dios (ACRNT): https://bibles.org/acr-ACRNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C14170	accNT.jar	 acc.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-02098.txt																
Acholi	Acoli, Acooli, Akoli, Atscholi, Dok Acoli, Gang, Log Acoli, Lwo, Shuli, Dhopaluo, Chope, Chopi, Lwoo, Lëbacoli	ach			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ach	South Sudan, Uganda															1											https://www.scriptureearth.org/data/ach/video/JESUSFilm-ach.txt																
Achuar-Shiwiar	Achual, Achuale, Achuar, Achuara, Jivaro, Maina, Achiar chícham, Achuale, Achuar, Achuar-Shiviar, Achuar-Shiwiara, Achuara, Achuare, Achuár chícham, Ashuar, Atchuara, Jivaro, Shiwiar chícham, Áints, Shiwiar, Maina	acu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acu	Peru	27		100		1		33		100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.acu.pb.apk			https://live.bible.is/bible/ACUTBL/Mat/1	Bible.com (YouVersion) Yuse chichame aarmauri; Yaanchuik, Chicham; Yam: https://www.bible.com/bible/4/MAT.1 ## Bible.com (YouVersion): https://www.bible.com/bible/1295/MAT.1	Bibles.org: https://bibles.org/acu-ACUNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C20650	Achuar-ShiwiarNT.jar	 acu.bbl.mybible		https://www.scriptureearth.org/data/acu/video/JESUSFilm-acu.txt									https://www.scriptureearth.org/data/acu/video/acu-ScriptureAnim.txt ## https://www.scriptureearth.org/data/acu/video/acu-ScriptureAnim-640.txt						languages of Ecuador: http://www.ethnologue.com/map/EC ## languages of Peru: http://www.ethnologue.com/map/PE	
Adele	Bedere, Bidire, Gadre, Gidere, Gidire, Lower Adele, Bidire, Gidire, Upper Adele, Gadre, Gidere	ade			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ade	Ghana, Togo															1				https://live.bible.is/bible/ADETBL/Mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/ade				https://www.scriptureearth.org/data/ade/video/JESUSFilm-ade.txt															languages of Ghana: http://www.ethnologue.com/map/GH_z ## languages of Togo: http://www.ethnologue.com/map/TG	
Adi	Luoba, Boga’er, Abor, Adi-Bokar, Bengni-Boga’er, Boga’er, Bokar, Lho-Pa, Lhoba, Ashing, Bori, Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam, Boga’er Luoba, Milan, Abhor, Bori-Karko, Luoba	adi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=adi	China, India															1																											
Adioukrou	Adjukru, Adyoukrou, Adyukru, Ajukru, Adyoukrou, Adyukru, Ajukru, Mɔjukru, Mojukru	adj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=adj	Côte d'Ivoire	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.adj.nt.apk			https://live.bible.is/bible/ADJWBT/Mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/2555		 adj.bbl.mybible		https://www.scriptureearth.org/data/adj/video/JESUSFilm-adj.txt															languages of Côte d’Ivoire: http://www.ethnologue.com/map/CI	
Adygey	Adygei, Adygey, Kiakh, Kjax, Lower Circassian, Lowland Adyghe, West Circassian, Western Adyghe, Western Circassian, Adyghe, Abadzex, Bezhedukh, Natuzaj, Shapsug, Xakuchi, Abadzakh, Abadzeg, Bzedux, Bzhedug, Chemgui, Natukhai, Sapsug, Shapsugi, Temirgoj, Adəgăbză, Cherkes	ady			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ady	Iraq, Israel, Jordan, Macedonia, Russia, Syria, Turkey															1	Proverbs - Android app (Google Play): https://play.google.com/store/apps/details?id=org.ibt.adyghe.pritchi.sab		Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/haitian-creole-bibles/		Bible.com (YouVersion) Къэбарышӏур (Инджыл) (ADGNT14): https://www.bible.com/bible/2157/MAT.1		Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/3853				https://www.scriptureearth.org/data/ady/video/JESUSFilm-ady.txt															languages of Southwestern Russia: http://www.ethnologue.com/map/RU_sw_	
Adzera	Acira, Atsera, Atzera, Azera, Amari, Guruf-Ngariawang, Ngarowapum, Tsumanggorun, Yarus, Ngariawan	adz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=adz	Papua New Guinea							1		1						1					Bible.com (YouVersion): https://www.bible.com/bible/1229/MAT.1	Bibles.org: https://bibles.org/adz-ADZGEN/Gen/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/524				https://www.scriptureearth.org/data/adz/video/JESUSFilm-adz.txt															languages of Papua New Guinea: http://www.ethnologue.com/map/PG_10 ## languages of Papua New Guinea: http://www.ethnologue.com/map/PG_11	
