English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=hmd	China																											https://www.scriptureearth.org/data/hmd/video/JESUSFilm-hmd.txt							https://www.scriptureearth.org/data/hmd/video/Magdalena-hmd.txt											language map: https://joshuaproject.net/languages/hmd	
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aiw	Ethiopia																				- The Word for the World, 2015: https://live.bible.is/bible/AIWDPI							https://www.scriptureearth.org/data/aiw/video/JESUSFilm-aiw.txt																		language map: https://joshuaproject.net/languages/aiw	
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bzy	Nigeria																											https://www.scriptureearth.org/data/bzy/video/JESUSFilm-bzy.txt																		language map: https://joshuaproject.net/languages/bzy	
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aau	Papua New Guinea	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.aau.nt.apk		New Testament: https://virtualstorehouse.org/products/abau-nt-aau	https://live.bible.is/bible/AAUWBT	https://www.bible.com/bible/1015/MAT.1	https://globalrecordings.net/en/language/519	1	https://www.scriptureearth.org/data/aau/study/AbauNT.jar	https://www.scriptureearth.org/data/aau/study/aau.bbl.mybible		https://www.scriptureearth.org/data/aau/video/JESUSFilm-aau.txt																		language map: https://joshuaproject.net/languages/aau	
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abi	Côte dꞌIvoire																	Appli: la Bible en abidji - Nouveau Testament avec audio: https://play.google.com/store/apps/details?id=org.ipsapps.cotedivoire.abi.abidji.bible			https://live.bible.is/bible/ABIWBT		https://www.globalrecordings.net/en/language/abi					https://www.scriptureearth.org/data/abi/video/JESUSFilm-abi.txt																		language map: https://joshuaproject.net/languages/abi	
Abkhaz	Abzhui, Bzyb, Samurzakan, Abkhazian, Abxazo	abk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abk	Georgia, Turkey																						https://www.globalrecordings.net/en/language/abk					https://www.scriptureearth.org/data/abk/video/JESUSFilm-abk.txt																		language map: https://joshuaproject.net/languages/abk	
Abuan	Abua	abn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abn	Nigeria															1		https://play.google.com/store/apps/details?id=org.wycliffe.abn.abuan.bible				Ạḍinya Iigbia (ẠḌI): https://www.bible.com/en-GB/bible/2632/MAT.1																								language map: https://joshuaproject.net/languages/abn	
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=kgr	Indonesia																				https://live.bible.is/bible/KGRLAI	Sukdu subot os be gato Yefun Allah tom men ne (LAIKGR): https://www.bible.com/en-GB/bible/2864/MAT.1	https://www.globalrecordings.net/en/language/kgr																							language map: https://joshuaproject.net/languages/kgr	
Abure	Abonwa, Abule, Akaplass, Ehie, Eyive, Ossouon, Abouré	abu			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abu	Côte dꞌIvoire																	Appli -- Luc en abouré: https://play.google.com/store/apps/details?id=org.ipsapps.cotedivoire.abu.bible.aboure.audio&hl=fr					Enregistrements audio: https://globalrecordings.net/en/language/abu																							language map: https://joshuaproject.net/languages/abu	
Aceh	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie, Tunong, Pedir, Timu, Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh	ace			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=ace	Indonesia																				https://live.bible.is/bible/ACEIBS	Alkitab HABA GET (LAIACE): https://www.bible.com/en-GB/bible/2835/MAT.1	https://www.globalrecordings.net/en/language/ace					https://www.scriptureearth.org/data/ace/video/JESUSFilm-ace.txt																		language map: https://joshuaproject.net/languages/ace	
