English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps	
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=hmd	China															1												https://www.scriptureearth.org/data/hmd/video/JESUSFilm-hmd.txt							https://www.scriptureearth.org/data/hmd/video/Magdalena-hmd.txt											language map: https://joshuaproject.net/languages/hmd	
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aiw	Ethiopia															1												https://www.scriptureearth.org/data/aiw/video/JESUSFilm-aiw.txt																		language map: https://joshuaproject.net/languages/aiw	
Aatasara South Tairora	Tairora, South	omw	vinat		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=omw&ROD_Code=vinat	Papua New Guinea															1								1																						language map: https://joshuaproject.net/languages/omw	
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=bzy	Nigeria															1																														language map: https://joshuaproject.net/languages/bzy	
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aau	Papua New Guinea	27				1				unknown						1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.aau.nt.apk		New Testament: https://virtualstorehouse.org/products/abau-nt-aau	https://live.bible.is/bible/AAUWBT/Mat/1	https://www.bible.com/bible/1015/MAT.1	https://globalrecordings.net/en/language/519	1	https://www.scriptureearth.org/data/aau/study/AbauNT.jar	https://www.scriptureearth.org/data/aau/study/aau.bbl.mybible		https://www.scriptureearth.org/data/aau/video/JESUSFilm-aau.txt																		language map: https://joshuaproject.net/languages/aau	
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abi	Côte dꞌIvoire															1		Appli: la Bible en abidji - Nouveau Testament avec audio: https://play.google.com/store/apps/details?id=org.ipsapps.cotedivoire.abi.abidji.bible			https://live.bible.is/bible/ABIWBT/Mat/1		https://www.globalrecordings.net/en/language/abi					https://www.scriptureearth.org/data/abi/video/JESUSFilm-abi.txt																		language map: https://joshuaproject.net/languages/abi	
Abkhaz	Abzhui, Bzyb, Samurzakan, Abkhazian, Abxazo	abk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abk	Georgia, Turkey															1							https://www.globalrecordings.net/en/language/abk																							language map: https://joshuaproject.net/languages/abk	
Abuan	Abua	abn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=abn	Nigeria															1		https://play.google.com/store/apps/details?id=org.wycliffe.abn.abuan.bible																												language map: https://joshuaproject.net/languages/	
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=kgr	Indonesia															1							https://www.globalrecordings.net/en/language/kgr																							language map: https://joshuaproject.net/languages/kgr	
Aceh	Banda Aceh, Baruh, Bueng, Daja, Pase, Pidie, Tunong, Pedir, Timu, Acehnese, Achehnese, Achinese, Atjehnese, Bahsa Acèh, Basa Acèh	ace			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ace	Indonesia															1							https://www.globalrecordings.net/en/language/ace					https://www.scriptureearth.org/data/ace/video/JESUSFilm-ace.txt																		language map: https://joshuaproject.net/languages/ace	
Achagua	Ajagua, Xagua	aca			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=aca	Colombia	10		unknown						unknown						1		https://play.google.com/store/apps/details?id=org.scriptureearth.aca.nt.apk		New Testament portions: https://virtualstorehouse.org/products/achagua-nt-aca	https://live.bible.is/bible/ACAWBT/MRK/1	https://www.bible.com/bible/1418/MAT.1	https://www.globalrecordings.net/en/language/aca			https://www.scriptureearth.org/data/aca/study/aca.bbl.mybible											https://www.scriptureearth.org/data/aca/video/aca-ScrSlide.txt ## https://www.scriptureearth.org/data/aca/video/aca-ScrSlide-download.txt									languages of Colombia: https://maps.google.com/maps/ms?msid=205343742597758645576.00049d00be1a95cb17fc4&msa=0	
Ache	Ache gatu, Ache purä, Ache wa, Ñacunday River Ache, Ache irollä, Ache-Guayaki, Axé	guq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=guq	Paraguay															1							https://www.globalrecordings.net/en/language/guq																							language map: https://joshuaproject.net/languages/guq	
Achí	Rabinal K'iche', Rabinal Achí, Cubulco Achi, Maya Achi, Rabinal Achi, Achi, Qach'a'teem	acr		traditional alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&Variant_Code=a	Guatemala, Guatemala	27	260			1	1									1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.acrt.nt.apk	https://www.scriptureearth.org/data/acr/study/acrT_Achi_Rabinal-T_Biblia-4.7.apk: version 4.7 (Android 2.3.3 minimum)	New Testament (Traditional Alphabet): https://virtualstorehouse.org/products/rabinal-achi-nt-acr-traditional-alphabet		Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRTNT): https://www.bible.com/bible/513/MAT.1 ## Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	https://globalrecordings.net/en/program/C09570	1		https://www.scriptureearth.org/data/acr/study/acr-t.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-a.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&ll=15.178181,-90.373535&spn=2.300726,4.191284&t=h&z=8	
Achí	Rabinal K'iche', Rabinal Achí	acr		new alphabet	https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&Variant_Code=b	Guatemala, Guatemala	27	260			1	1									1	1	https://play.google.com/store/apps/details?id=org.scriptureearth.acrn.nt.apk	https://www.scriptureearth.org/data/acr/study/acrN_Achi_Rabinal-N_Biblia-4.7.apk: Version 4.7	New Testament: https://virtualstorehouse.org/products/rabinal-achi-nt-acr-new-alphabet	https://live.bible.is/bible/ACRNNT/mat/1	Ri utzilaj tzij re ri kanimajawal Jesucristo (ACRNNT): https://www.bible.com/bible/517/MAT.1	https://globalrecordings.net/en/program/C09570	1		https://www.scriptureearth.org/data/acr/study/acr-n.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-b.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&ll=15.178181,-90.373535&spn=2.300726,4.191284&t=h&z=8	
Achiꞌ, Cubulco		acr	2098		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=acr&ROD_Code=2098	Guatemala	27				1										1		https://play.google.com/store/apps/details?id=org.scriptureearth.acrc.nt.apk		New Testament: https://virtualstorehouse.org/products/achi-de-cubulco-nt-acc	https://live.bible.is/bible/ACCIBS/Mat/1	I 'utz laj tzij re i dios (ACRNT): https://www.bible.com/bible/3/MAT.1	https://globalrecordings.net/en/program/C14170	1	https://www.scriptureearth.org/data/acr/study/accNT.jar	https://www.scriptureearth.org/data/acr/study/acc.bbl.mybible		https://www.scriptureearth.org/data/acr/video/JESUSFilm-acr-02098.txt																		languages of Guatemala: https://maps.google.com/maps/ms?ie=UTF8&hl=en&msa=0&msid=205343742597758645576.00049cd21820c346eecf6&t=h&z=7	
