English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps
|Gwi	Khute, Dcui, G!wikwe, Gcwi, G|wi, G|wikhwe	gwj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=gwj	Botswana																				1		1																							1
A-Hmao	Miao, Large Flowery, A-Hmaos, Ad Hmaob lul, Big Flowery Miao, Da Hua Bei Miao, Da Hua Miao, Diandongbei Miao, Flowery Miao, Great Flowery Tribe, Hua Miao, Hwa Miao, Northeastern Dian Miao, Northeastern Yunnan Miao, Ta Hwa Miao	hmd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=hmd	China																											1							1											1
Aari	Bako, Biyo, Laydo, Seyki, Shangama, Sido, Wubahamer, Zeddo, Baco, Bio, Ubamer, Aarai, Ara, Ari, Aro	aiw			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aiw	Ethiopia																				1							1																		1
Aatasara South Tairora	Tairora, South	omw	vinat		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=omw&rod=vinat	Papua New Guinea																							1																						1
Abanglekuo	Basang, Bebi, Bishiri, Bisu, Busi, Gayi, Obanliku, Abanliku	bzy			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=bzy	Nigeria																											1																		1
Abau	Green River, Central Abau, Downriver Abau, Downriver border Abau, Upriver Abau, Oriyai	aau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=aau	Papua New Guinea	27				1											1	1		1	1	1	1	1	1	1		1																		1
Abidji	Enyembe, Ogbru, Abiji	abi			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abi	Côte dꞌIvoire																	1			1		1					1																		1
Abkhaz	Abzhui, Bzyb, Samurzakan, Abkhazian, Abxazo	abk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abk	Georgia, Turkey																						1					1																		1
Abuan	Abua	abn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=abn	Nigeria															1		1				1																								1
Abun	Abun Je, Abun Ji, Abun Tat, Karon Pantai, Madik, A Nden, Karon, Manif, Yimbun	kgr			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=kgr	Indonesia																				1	1	1																							1
